shipment_id,order_id,carrier,tracking_number,ship_date,delivery_date,weight_kg,shipping_cost,status
43,83,FedEx,TC99144920,2025-08-17,2025-08-24,11.73,39.09,Returned
44,87,FedEx,XN49269996,2025-04-17,2025-04-21,15.42,30.0,Returned
45,88,DPD,HS96489971,2025-11-14,2025-11-20,3.14,39.33,Delivered
46,89,FedEx,VK28596932,2025-05-13,2025-05-16,2.11,28.07,Returned
47,92,FedEx,LM14084993,2025-04-02,2025-04-09,10.85,47.87,Returned
48,95,UPS,JD12342669,2025-12-16,2025-12-23,18.58,33.93,Delivered
49,98,FedEx,DW69087261,2025-03-30,2025-04-02,8.54,15.74,Delivered
50,101,UPS,HM60723483,2025-08-22,2025-08-29,0.64,44.25,Delivered
51,102,USPS,WB35953828,2025-05-14,2025-05-15,0.61,43.77,Returned
52,103,DHL,BV40561299,2026-02-25,2026-03-01,8.99,21.76,Delivered
53,104,USPS,BQ08269582,2025-10-08,2025-10-15,11.85,8.86,Delivered
54,105,DPD,OE41869656,2025-05-08,2025-05-13,14.52,8.72,Returned
55,107,USPS,ZH30876123,2025-11-03,2025-11-04,14.84,19.84,Delivered
56,108,FedEx,IJ59514346,2026-01-12,2026-01-16,4.29,7.27,Returned
57,109,USPS,EW39484002,2025-03-26,2025-03-29,5.18,8.26,Delivered
58,112,DHL,ED30086966,2025-05-06,2025-05-07,7.66,22.74,Delivered
59,120,UPS,VB16831139,2025-05-07,2025-05-10,18.92,42.32,Returned
60,121,UPS,SO01680941,2025-06-28,2025-07-05,4.66,35.96,Delivered
61,125,DHL,ML91507628,2025-10-05,2025-10-09,19.03,15.91,Returned
62,127,FedEx,BF76205344,2025-09-03,2025-09-04,16.96,11.34,Delivered
63,129,DPD,IU77946207,2025-08-03,2025-08-05,3.2,35.67,Delivered
64,130,DPD,ZF66292508,2025-12-26,2025-12-27,16.07,43.72,Delivered
65,133,DPD,XX77602991,2025-10-27,2025-10-30,8.36,10.4,Delivered
66,134,DPD,MM40688413,2026-02-18,2026-02-20,19.31,37.87,Delivered
67,135,DHL,WZ73125523,2025-06-01,2025-06-04,15.75,4.41,Delivered
68,136,USPS,RG17817032,2025-12-02,2025-12-05,12.54,45.72,Delivered
69,137,UPS,PG19206136,2025-03-25,2025-03-30,0.67,4.21,Returned
70,138,DHL,HM52778956,2025-03-22,2025-03-26,14.73,9.78,Delivered
71,139,DPD,DU37184449,2025-07-06,2025-07-07,7.6,31.13,Returned
72,140,FedEx,CG29502648,2025-11-27,2025-11-29,2.09,19.39,Returned
73,141,USPS,GZ64403734,2025-10-13,2025-10-14,19.77,8.28,Delivered
74,144,USPS,LE78127782,2025-12-07,2025-12-11,17.14,28.23,Delivered
75,147,DPD,OM02179821,2025-11-28,2025-12-05,16.21,3.03,Returned
76,150,UPS,YU48629857,2026-02-01,2026-02-05,2.65,33.85,Delivered
77,151,DHL,GL97363831,2025-07-12,2025-07-17,9.61,38.19,Returned
78,152,FedEx,VB85605397,2025-11-08,2025-11-10,4.46,9.1,Delivered
79,155,DHL,SD79866177,2025-06-05,2025-06-07,14.89,36.71,Delivered
80,156,DHL,WA67368205,2026-01-03,2026-01-08,5.07,14.78,Delivered
81,157,USPS,UR68212235,2025-08-13,2025-08-16,13.4,27.44,Delivered
82,158,FedEx,GR21650587,2025-11-30,2025-12-03,6.63,20.61,Returned
83,160,DHL,KI46921821,2025-08-30,2025-09-04,14.98,40.59,Returned
84,161,FedEx,IX59679089,2025-12-04,2025-12-11,19.59,3.67,Delivered
85,163,FedEx,BK43699848,2026-02-28,2026-03-07,3.32,18.16,Delivered
86,164,USPS,UM20509386,2025-05-12,2025-05-16,17.17,11.82,Returned
87,165,USPS,GJ48424959,2025-10-04,2025-10-08,19.85,24.3,Delivered
88,166,USPS,ZW11457887,2025-03-17,2025-03-22,2.44,16.13,Delivered
89,171,UPS,CY07152386,2026-01-07,2026-01-10,19.93,11.76,Delivered
90,172,USPS,YX73820974,2026-02-20,2026-02-27,15.46,24.45,Delivered
91,175,UPS,YI19177987,2025-08-12,2025-08-18,15.29,15.35,Delivered
92,177,DHL,UH29968722,2025-12-01,2025-12-05,19.3,8.93,Returned
93,178,DHL,ZP93708580,2025-08-01,2025-08-05,2.49,36.5,Delivered
94,179,UPS,YU23504056,2025-03-09,2025-03-16,6.21,23.5,Delivered
95,180,DPD,RI95790012,2025-04-20,2025-04-27,3.73,41.54,Delivered
96,183,FedEx,DL25544286,2025-10-21,2025-10-23,16.82,13.43,Delivered
97,187,UPS,OI63259423,2025-10-28,2025-10-30,10.56,39.66,Delivered
98,189,DPD,GV89463389,2025-10-07,2025-10-14,10.55,40.61,Returned
99,190,FedEx,UE62415285,2025-05-08,2025-05-13,13.9,49.87,Delivered
100,192,FedEx,OS25629269,2025-07-22,2025-07-25,2.09,10.78,Delivered
101,194,FedEx,GJ35895138,2025-07-05,2025-07-07,10.86,47.89,Delivered
102,195,FedEx,JU65507846,2025-03-10,2025-03-17,5.64,48.08,Returned
103,196,USPS,MT09574430,2025-07-24,2025-07-27,18.03,48.68,Delivered
104,197,UPS,EK91891179,2025-06-22,2025-06-26,2.81,47.09,Delivered
105,198,UPS,FX03859340,2026-02-12,2026-02-13,14.2,34.4,Delivered
106,199,DPD,UU36415471,2025-09-18,2025-09-24,11.92,6.14,Delivered
107,200,FedEx,EU31325936,2025-05-25,2025-05-27,9.67,10.53,Delivered
108,204,FedEx,NR81367500,2026-02-10,2026-02-14,12.96,21.38,Delivered
109,205,UPS,YN21410527,2025-04-28,2025-04-30,1.5,48.28,Returned
110,207,USPS,UI81987809,2025-03-23,2025-03-25,2.56,37.76,Delivered
111,209,USPS,JX70452388,2025-03-25,2025-03-27,2.93,15.95,Delivered
112,210,DHL,DU56225866,2025-06-28,2025-06-29,10.46,27.64,Returned
113,211,FedEx,KI98678744,2025-08-25,2025-08-29,13.24,17.04,Returned
114,212,DPD,BX75854859,2025-06-13,2025-06-18,9.14,6.31,Returned
115,214,DHL,HF59428249,2026-02-10,2026-02-13,7.69,44.88,Delivered
116,215,USPS,ZT65020002,2025-12-19,2025-12-25,8.58,10.92,Delivered
117,216,UPS,ZU53931321,2025-08-02,2025-08-09,4.57,7.84,Returned
118,217,UPS,HN51305570,2025-03-08,2025-03-13,4.9,42.95,Delivered
119,219,USPS,HN68214448,2025-04-30,2025-05-07,8.49,32.99,Returned
120,220,UPS,BC66997273,2025-10-18,2025-10-25,18.1,33.09,Delivered
121,221,UPS,VT74620258,2025-11-07,2025-11-11,19.66,6.91,Returned
122,225,USPS,TI25431832,2025-06-11,2025-06-17,4.93,26.26,Delivered
123,227,UPS,PA12312392,2025-12-24,2025-12-28,2.17,39.7,Returned
124,229,DPD,PA49106018,2025-07-16,2025-07-21,16.76,20.66,Delivered
125,230,USPS,IK47238750,2026-02-22,2026-03-01,0.94,8.07,Delivered
126,231,DHL,ED76817225,2025-03-23,2025-03-28,2.44,38.91,Delivered
127,233,DPD,JK54584726,2025-08-01,2025-08-06,8.49,21.51,Returned
128,235,USPS,QJ05291876,2025-06-27,2025-06-30,17.06,29.95,Returned
129,237,USPS,PE31608271,2026-01-17,2026-01-18,16.28,32.52,Returned
130,238,DHL,PL21733739,2025-06-25,2025-07-01,4.4,11.49,Delivered
131,239,UPS,NN20522299,2026-01-31,2026-02-01,18.42,40.69,Delivered
132,242,UPS,PJ62165914,2025-09-22,2025-09-29,7.24,35.1,Delivered
133,245,UPS,IN82325539,2025-05-12,2025-05-14,8.98,5.25,Delivered
134,246,UPS,VV58446177,2025-04-18,2025-04-24,15.4,10.55,Delivered
135,249,DPD,VQ73264309,2026-02-22,2026-03-01,13.0,37.81,Delivered
136,250,FedEx,LC49791279,2025-05-24,2025-05-31,16.91,43.26,Delivered
137,252,DPD,VP02927120,2025-05-27,2025-05-30,10.81,40.84,Delivered
138,254,UPS,IL97871375,2025-08-26,2025-08-29,2.12,36.93,Returned
139,255,DPD,YX88322012,2025-08-21,2025-08-24,9.99,11.75,Delivered
140,259,UPS,WJ60832004,2025-12-02,2025-12-04,17.13,25.82,Delivered
141,260,USPS,WR79788897,2025-10-16,2025-10-23,17.93,38.47,Returned
142,261,DHL,DZ35852386,2025-03-30,2025-04-02,2.32,30.35,Returned
143,264,DPD,KY03044361,2026-01-24,2026-01-30,5.99,29.32,Delivered
144,267,DPD,UK95171523,2025-08-12,2025-08-16,13.94,12.34,Delivered
145,268,DPD,FT10292950,2025-12-09,2025-12-15,18.3,34.17,Returned
146,269,UPS,AK37483093,2025-12-16,2025-12-18,10.7,21.65,Returned
147,270,UPS,HJ67139719,2025-06-12,2025-06-13,12.31,48.63,Returned
148,272,USPS,RS60221321,2026-01-06,2026-01-08,16.54,14.56,Returned
149,273,UPS,HH76720191,2025-03-22,2025-03-28,0.62,13.55,Returned
150,277,FedEx,UC66122019,2025-12-27,2025-12-29,8.86,41.14,Delivered
151,279,UPS,VU72587339,2025-04-23,2025-04-24,4.95,3.98,Delivered
152,281,USPS,NI30493665,2025-06-29,2025-07-03,8.35,28.91,Delivered
153,282,USPS,LG02748124,2026-02-27,2026-03-01,3.8,27.37,Delivered
154,283,DPD,AK14086825,2025-10-10,2025-10-16,17.78,49.02,Delivered
155,285,UPS,LM52294620,2025-12-28,2026-01-03,16.09,15.39,Returned
156,287,FedEx,WI55610399,2026-02-15,2026-02-18,6.47,19.78,Delivered
157,289,FedEx,RM97013712,2025-04-14,2025-04-17,15.93,30.21,Returned
158,291,DPD,WI65858564,2025-11-24,2025-12-01,14.2,28.16,Delivered
159,293,DPD,DB30412027,2025-12-17,2025-12-24,4.63,19.37,Delivered
160,294,FedEx,RD15927387,2025-06-15,2025-06-22,9.36,29.99,Delivered
161,296,DPD,LB29907166,2025-08-01,2025-08-05,8.81,30.78,Returned
162,297,DHL,UQ63224815,2025-12-24,2025-12-26,11.24,29.27,Delivered
163,298,USPS,BN20340301,2025-03-03,2025-03-06,17.36,9.95,Delivered
164,299,UPS,NE56797564,2025-06-05,2025-06-06,11.44,47.53,Delivered
165,301,DPD,PQ57955462,2025-03-09,2025-03-15,9.87,36.1,Delivered
166,302,FedEx,CJ71247601,2025-10-25,2025-10-29,13.27,17.56,Delivered
167,303,FedEx,JO01810306,2025-12-06,2025-12-09,11.44,44.17,Returned
168,305,DPD,HC17641726,2025-08-20,2025-08-22,19.61,30.58,Delivered
169,307,DHL,LB80815712,2025-04-23,2025-04-28,14.27,19.84,Returned
170,308,DHL,AC15071380,2025-10-15,2025-10-22,12.32,27.9,Delivered
171,309,FedEx,SX13073510,2025-09-20,2025-09-26,5.05,31.27,Delivered
172,311,FedEx,TM84743621,2025-12-03,2025-12-10,0.69,46.65,Returned
173,312,DHL,RW00962588,2025-04-08,2025-04-11,1.97,21.97,Delivered
174,313,USPS,HJ76694703,2025-06-11,2025-06-18,7.69,25.3,Delivered
175,315,DHL,QB05339627,2025-11-15,2025-11-17,6.29,11.34,Delivered
176,316,USPS,PI66215918,2025-08-15,2025-08-18,1.91,15.24,Delivered
177,317,UPS,GT70004666,2025-04-29,2025-05-01,19.71,32.75,Returned
178,318,DHL,FQ59011079,2025-04-18,2025-04-22,10.52,3.96,Delivered
179,319,DPD,IX71400493,2026-02-16,2026-02-17,1.28,20.54,Delivered
180,321,DPD,QT81949053,2026-01-12,2026-01-13,0.35,18.36,Returned
181,322,DPD,CZ15204998,2025-09-20,2025-09-21,11.31,43.39,Delivered
182,323,DPD,OO94976987,2025-07-13,2025-07-15,10.01,28.16,Delivered
183,324,FedEx,MJ13797166,2025-06-25,2025-06-26,12.03,29.98,Delivered
184,325,FedEx,SD41661237,2025-11-21,2025-11-27,10.2,41.27,Returned
185,326,DPD,BL77943325,2025-09-20,2025-09-21,0.87,28.27,Returned
186,327,UPS,NC38994991,2025-10-16,2025-10-23,18.71,8.07,Delivered
187,328,DPD,DD01426203,2025-10-23,2025-10-28,3.43,7.69,Returned
188,329,FedEx,KQ87821160,2025-07-23,2025-07-28,19.95,46.24,Returned
189,331,DPD,KG04181359,2026-01-03,2026-01-09,16.65,39.85,Delivered
190,332,DPD,BU98972117,2025-03-12,2025-03-18,1.4,14.57,Returned
191,333,USPS,ZQ88948018,2025-06-12,2025-06-14,3.85,22.0,Returned
192,334,USPS,GV48221758,2025-09-25,2025-09-26,16.24,45.75,Delivered
193,337,DPD,LD39785708,2025-03-24,2025-03-25,1.91,33.78,Delivered
194,338,DPD,QF04806757,2025-11-21,2025-11-26,14.07,27.52,Returned
195,339,FedEx,FW23691496,2025-04-21,2025-04-27,5.72,9.37,Delivered
196,340,USPS,QB12879429,2025-03-24,2025-03-27,8.14,20.72,Delivered
197,341,USPS,RC88276970,2025-03-27,2025-03-28,2.18,29.38,Delivered
198,342,UPS,HW95314196,2025-04-28,2025-05-02,10.0,39.96,Delivered
199,343,DHL,RZ60783274,2025-09-09,2025-09-16,10.6,4.96,Delivered
200,344,DPD,LZ88356517,2026-02-07,2026-02-10,14.98,29.85,Delivered
201,346,UPS,YY62409649,2025-12-02,2025-12-08,14.81,28.11,Delivered
202,347,USPS,GT83496047,2026-02-18,2026-02-21,3.85,48.32,Delivered
203,348,USPS,YJ21702851,2025-07-01,2025-07-08,14.8,27.63,Returned
204,350,UPS,IA25936488,2025-11-30,2025-12-05,13.65,5.1,Delivered
205,351,USPS,ON89348688,2025-08-28,2025-08-29,19.0,44.94,Returned
206,354,FedEx,CM06246728,2025-10-22,2025-10-23,9.96,29.84,Delivered
207,355,DHL,EN91609114,2025-07-26,2025-07-27,18.45,12.68,Delivered
208,358,DHL,GO19359236,2025-12-23,2025-12-26,18.1,34.0,Delivered
209,360,USPS,QU37605230,2025-04-13,2025-04-15,16.55,20.47,Delivered
210,361,FedEx,RW88165025,2026-01-30,2026-01-31,2.92,14.57,Delivered
211,362,DPD,UP47241916,2025-06-05,2025-06-09,14.23,45.4,Delivered
212,363,UPS,EE03440966,2025-05-28,2025-05-30,8.24,3.48,Delivered
213,364,UPS,WI71824989,2025-10-24,2025-10-28,16.87,11.91,Returned
214,365,DPD,GR08806782,2025-09-23,2025-09-26,0.31,35.55,Delivered
215,366,USPS,NL17468135,2025-03-19,2025-03-25,2.66,35.41,Delivered
216,371,DHL,ZP66486989,2025-05-24,2025-05-30,2.39,45.4,Delivered
217,372,FedEx,KT96987486,2025-04-27,2025-04-28,10.79,10.87,Delivered
218,373,USPS,HN15594501,2026-01-14,2026-01-20,5.77,16.46,Returned
219,374,DHL,SC29207536,2025-09-03,2025-09-06,15.24,21.56,Returned
220,376,DPD,MI51171603,2025-12-02,2025-12-03,16.94,12.44,Delivered
221,377,USPS,GG86365362,2025-11-04,2025-11-05,9.63,8.24,Returned
222,378,USPS,AD94559067,2025-03-07,2025-03-14,3.77,38.84,Returned
223,379,USPS,QL09942489,2025-12-05,2025-12-07,12.34,23.59,Delivered
224,380,DPD,BF04664896,2025-08-28,2025-09-01,15.41,34.16,Delivered
225,382,FedEx,UB60564204,2025-11-14,2025-11-21,15.39,37.07,Returned
226,383,DHL,YT57758097,2025-09-17,2025-09-22,18.98,19.04,Returned
227,385,UPS,PY53389062,2025-10-03,2025-10-05,9.29,45.37,Delivered
228,386,USPS,SS54662265,2025-05-15,2025-05-19,3.15,16.71,Delivered
229,388,FedEx,DA01659953,2025-03-02,2025-03-04,12.58,18.79,Returned
230,390,USPS,WZ62212242,2025-10-01,2025-10-02,1.48,14.55,Returned
231,391,DPD,NE76774625,2025-07-16,2025-07-19,3.31,28.71,Returned
232,392,DHL,XG60112411,2026-01-24,2026-01-25,13.73,22.27,Delivered
233,394,DPD,GE48860080,2025-05-20,2025-05-21,14.44,37.03,Delivered
234,397,DHL,FL98677823,2025-11-29,2025-12-02,2.96,7.88,Delivered
235,399,USPS,TA99570472,2025-09-20,2025-09-21,0.17,5.75,Delivered
236,400,DPD,NH42612120,2025-09-05,2025-09-12,2.48,13.55,Delivered
237,401,DPD,UY43753659,2025-04-27,2025-05-02,1.57,33.5,Delivered
238,402,USPS,GL80785254,2025-05-15,2025-05-20,5.72,31.95,Returned
239,404,FedEx,XZ42183854,2025-07-03,2025-07-09,13.69,31.79,Delivered
240,405,USPS,PD40064454,2025-06-29,2025-07-05,9.63,45.23,Delivered
241,407,UPS,TC52311232,2025-04-15,2025-04-20,4.55,16.48,Returned
242,411,UPS,XZ48979177,2025-10-25,2025-10-29,17.65,20.3,Returned
243,412,UPS,JI33427203,2025-09-03,2025-09-07,2.97,24.62,Delivered
244,413,FedEx,ZE62175080,2025-07-30,2025-08-06,19.75,8.88,Returned
245,414,USPS,YM96304530,2025-05-08,2025-05-10,8.48,22.63,Delivered
246,416,USPS,VO35882493,2025-12-22,2025-12-26,9.32,18.88,Delivered
247,418,DPD,EG40018167,2026-01-16,2026-01-18,4.2,13.2,Returned
248,419,FedEx,QQ48165244,2025-05-13,2025-05-18,18.97,37.28,Returned
249,421,USPS,XS54460838,2025-12-02,2025-12-05,11.01,38.91,Returned
250,422,UPS,AP17993781,2026-01-01,2026-01-04,4.35,9.64,Returned
251,426,USPS,GQ53912878,2025-07-10,2025-07-15,6.08,42.15,Delivered
252,427,DHL,HG48699969,2025-03-23,2025-03-27,4.07,18.87,Returned
253,428,USPS,EG29045792,2025-10-16,2025-10-22,18.75,23.29,Returned
254,429,FedEx,UM47246301,2025-09-26,2025-09-27,7.78,34.35,Delivered
255,434,DPD,PO86424238,2025-05-20,2025-05-26,15.41,33.14,Delivered
256,435,FedEx,JH97283391,2025-05-09,2025-05-16,3.1,17.88,Delivered
257,436,FedEx,HG87062932,2025-07-01,2025-07-08,15.28,25.87,Delivered
258,437,DPD,HA09832210,2025-09-02,2025-09-09,10.66,32.52,Delivered
259,439,DHL,DB23200186,2025-11-18,2025-11-24,15.76,7.03,Returned
260,440,DHL,TY61008987,2025-08-14,2025-08-21,6.7,7.23,Returned
261,443,FedEx,YF10814356,2026-02-02,2026-02-04,19.16,17.46,Returned
262,445,DPD,LG40384531,2025-10-04,2025-10-07,18.19,30.42,Delivered
263,446,UPS,TA07468235,2025-12-18,2025-12-22,14.1,16.62,Returned
264,447,DPD,WZ95100307,2025-10-30,2025-11-06,3.28,44.39,Returned
265,449,DHL,EV20545967,2025-03-29,2025-04-02,10.69,32.06,Delivered
266,450,DPD,EA00666641,2025-04-09,2025-04-14,12.61,35.89,Returned
267,451,FedEx,ZC65411340,2025-03-02,2025-03-08,19.52,34.2,Returned
268,454,DHL,EC85169949,2025-03-05,2025-03-09,15.14,9.37,Delivered
269,455,USPS,JM89058366,2025-06-11,2025-06-15,9.59,39.06,Delivered
270,456,UPS,ZK48268999,2025-03-04,2025-03-10,18.63,30.49,Delivered
271,458,DHL,JJ69708386,2025-11-22,2025-11-26,19.41,47.49,Delivered
272,459,UPS,XB89178791,2026-02-18,2026-02-21,19.76,44.67,Returned
273,464,FedEx,DY59625719,2025-11-26,2025-11-28,12.52,34.84,Delivered
274,465,FedEx,SW09320126,2025-07-15,2025-07-16,19.24,18.07,Delivered
275,467,DPD,TF57898260,2025-10-25,2025-10-28,19.67,26.25,Delivered
276,470,USPS,VG80952175,2025-04-16,2025-04-21,19.83,20.17,Delivered
277,471,DPD,FS51777412,2025-04-22,2025-04-24,5.68,27.46,Returned
278,474,UPS,RF69211882,2026-02-22,2026-02-26,18.13,5.44,Returned
279,475,UPS,JM99626422,2026-01-29,2026-02-04,5.34,49.82,Delivered
280,476,UPS,UU75891704,2025-04-15,2025-04-16,15.02,38.71,Delivered
281,478,DHL,FC54218545,2026-02-14,2026-02-20,6.73,4.47,Delivered
282,479,DPD,XF56820922,2025-12-19,2025-12-20,0.48,20.89,Delivered
283,481,USPS,AR09001635,2026-02-07,2026-02-11,0.82,34.58,Delivered
284,482,UPS,GK07232472,2025-05-05,2025-05-08,16.08,43.12,Delivered
285,483,UPS,HP89540017,2025-04-13,2025-04-17,2.73,19.27,Returned
286,484,FedEx,AE82247312,2025-11-22,2025-11-27,9.83,15.53,Delivered
287,486,DHL,JP68507105,2026-01-21,2026-01-27,16.13,45.93,Returned
288,488,DHL,DZ01195092,2025-06-11,2025-06-12,16.23,40.89,Returned
289,490,DHL,OY11526105,2025-09-22,2025-09-24,3.62,6.05,Delivered
290,492,FedEx,EZ70923007,2025-11-12,2025-11-19,15.6,43.59,Returned
291,493,DHL,GK69500741,2025-05-17,2025-05-23,14.76,19.03,Delivered
292,494,FedEx,DA48543298,2025-07-27,2025-07-28,11.7,48.39,Returned
293,496,UPS,QR98936529,2025-03-16,2025-03-22,15.74,7.97,Delivered
294,499,FedEx,MZ71619827,2025-05-03,2025-05-04,4.07,38.07,Delivered
295,501,DHL,CJ48131045,2026-01-22,2026-01-24,14.39,7.3,Delivered
296,502,FedEx,SN58963217,2025-10-29,2025-11-05,4.28,36.7,Returned
297,503,DPD,HD57483526,2026-02-17,2026-02-20,3.93,41.42,Delivered
298,505,FedEx,LJ64860673,2025-11-17,2025-11-22,9.44,37.38,Delivered
299,506,DHL,LU34488384,2025-11-22,2025-11-29,8.91,26.86,Returned
300,508,FedEx,VD36462805,2025-06-05,2025-06-07,5.34,44.27,Returned
301,509,DHL,VW77406579,2025-11-04,2025-11-06,14.09,6.56,Delivered
302,511,UPS,MC15623920,2025-05-08,2025-05-15,15.15,13.7,Delivered
303,512,DPD,QM85510740,2025-11-10,2025-11-16,6.0,22.38,Returned
304,513,USPS,GM13111786,2025-12-23,2025-12-25,5.09,19.2,Delivered
305,515,DHL,KO02547602,2025-03-17,2025-03-22,13.13,48.5,Delivered
306,517,FedEx,RL06953541,2026-01-09,2026-01-12,1.39,5.95,Delivered
307,520,DHL,DA01227595,2025-12-16,2025-12-22,12.43,41.43,Returned
308,521,USPS,UL26015153,2025-11-16,2025-11-22,0.34,37.98,Delivered
309,522,DPD,SC59479507,2025-11-26,2025-11-29,15.45,45.98,Delivered
310,523,DHL,DW71732798,2025-06-16,2025-06-22,11.43,37.18,Returned
311,524,UPS,SR95031006,2025-04-03,2025-04-07,14.87,25.58,Delivered
312,526,USPS,RW93403910,2025-12-28,2025-12-31,6.34,49.96,Delivered
313,527,DPD,EE20360894,2025-09-16,2025-09-18,3.49,35.47,Returned
314,530,USPS,LI84913599,2025-11-23,2025-11-27,6.55,40.42,Returned
315,531,USPS,XY55359520,2025-09-16,2025-09-20,9.1,9.68,Delivered
316,532,DHL,PB10067990,2025-06-28,2025-07-02,17.48,40.05,Returned
317,533,FedEx,TC69680186,2025-10-22,2025-10-29,8.05,3.66,Delivered
318,534,DPD,TN74037842,2025-07-27,2025-07-29,18.93,13.2,Returned
319,536,USPS,AZ39449530,2025-07-14,2025-07-18,3.08,18.85,Delivered
320,537,USPS,KO77625503,2026-02-22,2026-02-26,3.25,42.0,Delivered
321,538,FedEx,IZ50173654,2025-12-09,2025-12-12,3.88,31.52,Returned
322,540,USPS,DO24178429,2025-11-04,2025-11-08,18.95,10.51,Delivered
323,541,DHL,EA29233451,2026-01-19,2026-01-22,1.43,18.19,Delivered
324,543,UPS,OW09060530,2025-07-30,2025-08-04,2.92,27.38,Delivered
325,544,FedEx,HF88684302,2026-02-17,2026-02-24,8.39,3.61,Delivered
326,545,FedEx,RV66732904,2025-04-02,2025-04-08,6.84,17.6,Returned
327,549,DPD,LF75988759,2025-10-26,2025-10-30,2.52,9.08,Delivered
328,550,UPS,OP29964260,2025-08-13,2025-08-16,16.16,43.61,Delivered
329,551,USPS,LE62027558,2025-09-15,2025-09-20,1.36,24.01,Delivered
330,553,FedEx,HF47709207,2026-01-22,2026-01-24,18.9,35.35,Returned
331,554,USPS,SK52380236,2025-07-05,2025-07-11,15.76,29.08,Delivered
332,557,UPS,KF19215818,2025-04-26,2025-05-03,14.0,45.39,Returned
333,559,DPD,BN05916118,2025-10-19,2025-10-26,19.43,13.76,Delivered
334,560,FedEx,KV85588195,2025-12-01,2025-12-06,16.29,14.71,Returned
335,561,DHL,TD77216880,2026-01-09,2026-01-13,6.34,44.39,Returned
336,563,FedEx,YM53789318,2026-02-23,2026-03-02,12.51,6.82,Delivered
337,564,DPD,TD28972845,2025-12-17,2025-12-21,18.02,47.52,Delivered
338,565,USPS,LJ18227200,2025-12-28,2025-12-29,7.85,12.08,Delivered
339,568,FedEx,DQ39482322,2026-01-18,2026-01-24,7.34,39.55,Returned
